project,timeing,tests,failed,error,skipped,mode
gs-collections-sub-gs-collections-forkjoin,121.08,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,121.08,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,121.08,1078,0,0,0,baseTime
gs-collections-sub-unit-tests,121.08,63482,0,0,14,baseTime
gs-collections-surefireNotFound,110.0,0,0,0,0,ekstaziAEC
gs-collections-sub-collections-testutils,90.99,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,90.99,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,90.99,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,90.99,1078,0,0,0,baseTime
gs-collections-sub-unit-tests,90.99,63482,0,0,14,baseTime
gs-collections-sub-scala-unit-tests,80.65,208,0,0,0,ekstaziAEC
gs-collections-sub-collections-testutils,89.85,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,89.85,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,89.85,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,89.85,1078,0,0,0,baseTime
gs-collections-sub-unit-tests,89.85,63482,0,0,14,baseTime
gs-collections-sub-unit-tests,104.61,55112,0,0,14,ekstaziAEC
gs-collections-sub-collections-testutils,86.95,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,86.95,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,86.95,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,86.95,1082,0,0,0,baseTime
gs-collections-sub-unit-tests,86.95,63482,0,0,14,baseTime
gs-collections-sub-gs-collections-forkjoin,111.56,24,0,0,0,ekstaziAEC
gs-collections-sub-scala-unit-tests,111.56,383,0,0,0,ekstaziAEC
gs-collections-sub-serialization-tests,111.56,4,0,0,0,ekstaziAEC
gs-collections-sub-unit-tests,111.56,60524,0,0,14,ekstaziAEC
gs-collections-sub-collections-testutils,83.29,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,83.29,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,83.29,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,83.29,1082,0,0,0,baseTime
gs-collections-sub-unit-tests,83.29,64034,0,0,14,baseTime
gs-collections-sub-unit-tests,78.98,14938,0,0,0,ekstaziAEC
gs-collections-sub-collections-testutils,84.05,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,84.05,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,84.05,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,84.05,1082,0,0,0,baseTime
gs-collections-sub-unit-tests,84.05,64608,0,0,14,baseTime
gs-collections-sub-gs-collections-forkjoin,108.71,24,0,0,0,ekstaziAEC
gs-collections-sub-scala-unit-tests,108.71,383,0,0,0,ekstaziAEC
gs-collections-sub-unit-tests,108.71,61650,0,0,14,ekstaziAEC
